"station","date","source","var","uni","val","qual","bswqstation","lbs","nrmrng","lbunis","inrng"
"25","2021-03-23","epchc","nh34","mgl",0.02,"U","25","NH3, NH4+ (mg/L)","0-0.0613","(mg/L)","in range"
"28","2021-03-23","epchc","nh34","mgl",0.02,"U","28","NH3, NH4+ (mg/L)","7e-04-0.0543","(mg/L)","in range"
"82","2021-03-23","epchc","nh34","mgl",0.02,"U","82","NH3, NH4+ (mg/L)","0.001-0.0468","(mg/L)","in range"
"84","2021-03-23","epchc","nh34","mgl",0.02,"U","84","NH3, NH4+ (mg/L)","0.0069-0.0489","(mg/L)","in range"
"90","2021-03-23","epchc","nh34","mgl",0.02,"U","90","NH3, NH4+ (mg/L)","0-0.0566","(mg/L)","in range"
"91","2021-03-23","epchc","nh34","mgl",0.02,"U","91","NH3, NH4+ (mg/L)","0-0.0591","(mg/L)","in range"
"92","2021-03-23","epchc","nh34","mgl",0.02,"U","92","NH3, NH4+ (mg/L)","0-0.0593","(mg/L)","in range"
"93","2021-03-23","epchc","nh34","mgl",0.02,"U","93","NH3, NH4+ (mg/L)","0-0.0615","(mg/L)","in range"
"94","2021-03-23","epchc","nh34","mgl",0.02,"U","93","NH3, NH4+ (mg/L)","0-0.0615","(mg/L)","in range"
"95","2021-03-23","epchc","nh34","mgl",0.02,"U","95","NH3, NH4+ (mg/L)","0-0.0579","(mg/L)","in range"
"96","2021-03-23","epchc","nh34","mgl",0.02,"U","95","NH3, NH4+ (mg/L)","0-0.0579","(mg/L)","in range"
"16","2021-03-23","epchc","no23","mgl",0.013,"U","16","Nitrate/Nitrite (mg/L)","0-0.02905","(mg/L)","in range"
"19","2021-03-23","epchc","no23","mgl",0.036,"I","16","Nitrate/Nitrite (mg/L)","0-0.02905","(mg/L)","above"
"21","2021-03-23","epchc","no23","mgl",0.038,"I","90","Nitrate/Nitrite (mg/L)","0.01169-0.01245","(mg/L)","above"
"22","2021-03-23","epchc","no23","mgl",0.013,"U","22","Nitrate/Nitrite (mg/L)","0.01269-0.01345","(mg/L)","in range"
"23","2021-03-23","epchc","no23","mgl",0.013,"U","90","Nitrate/Nitrite (mg/L)","0.01169-0.01245","(mg/L)","above"
"24","2021-03-23","epchc","no23","mgl",0.013,"U","24","Nitrate/Nitrite (mg/L)","0.01169-0.01245","(mg/L)","above"
"25","2021-03-23","epchc","no23","mgl",0.013,"UJ","25","Nitrate/Nitrite (mg/L)","0.01139-0.01289","(mg/L)","above"
"28","2021-03-23","epchc","no23","mgl",0.013,"U","28","Nitrate/Nitrite (mg/L)","0.00755-0.01913","(mg/L)","in range"
"82","2021-03-23","epchc","no23","mgl",0.013,"U","82","Nitrate/Nitrite (mg/L)","0.0085-0.01764","(mg/L)","in range"
"84","2021-03-23","epchc","no23","mgl",0.013,"U","84","Nitrate/Nitrite (mg/L)","0-0.012","(mg/L)","above"
"90","2021-03-23","epchc","no23","mgl",0.013,"U","90","Nitrate/Nitrite (mg/L)","0.01169-0.01245","(mg/L)","above"
"91","2021-03-23","epchc","no23","mgl",0.043,"I","91","Nitrate/Nitrite (mg/L)","0.01169-0.01245","(mg/L)","above"
"92","2021-03-23","epchc","no23","mgl",0.013,"U","92","Nitrate/Nitrite (mg/L)","0.01269-0.01345","(mg/L)","in range"
"93","2021-03-23","epchc","no23","mgl",0.013,"U","93","Nitrate/Nitrite (mg/L)","0.00331-0.03245","(mg/L)","in range"
"94","2021-03-23","epchc","no23","mgl",0.013,"U","93","Nitrate/Nitrite (mg/L)","0.00331-0.03245","(mg/L)","in range"
"95","2021-03-23","epchc","no23","mgl",0.013,"UJ","95","Nitrate/Nitrite (mg/L)","0.01228-0.0143","(mg/L)","in range"
"96","2021-03-23","epchc","no23","mgl",0.013,"U","95","Nitrate/Nitrite (mg/L)","0.01228-0.0143","(mg/L)","in range"
"16","2021-03-23","epchc","orthop","mgl",0.05,"I","16","Ortho-P (mg/L)","0.0471-0.0791","(mg/L)","in range"
"19","2021-03-23","epchc","orthop","mgl",0.055,"I","19","Ortho-P (mg/L)","0.0418-0.0778","(mg/L)","in range"
"21","2021-03-23","epchc","orthop","mgl",0.059,"I","21","Ortho-P (mg/L)","0.0342-0.0764","(mg/L)","in range"
"22","2021-03-23","epchc","orthop","mgl",0.056,"I","22","Ortho-P (mg/L)","0.0381-0.0779","(mg/L)","in range"
"23","2021-03-23","epchc","orthop","mgl",0.024,"U","23","Ortho-P (mg/L)","0.0176-0.0642","(mg/L)","in range"
"24","2021-03-23","epchc","orthop","mgl",0.065,"I","24","Ortho-P (mg/L)","0.0373-0.0805","(mg/L)","in range"
"25","2021-03-23","epchc","orthop","mgl",0.024,"U","25","Ortho-P (mg/L)","0.025-0.0716","(mg/L)","below"
"28","2021-03-23","epchc","orthop","mgl",0.056,"I","28","Ortho-P (mg/L)","0.0374-0.0762","(mg/L)","in range"
"82","2021-03-23","epchc","orthop","mgl",0.045,"I","82","Ortho-P (mg/L)","0.0438-0.0796","(mg/L)","in range"
"84","2021-03-23","epchc","orthop","mgl",0.024,"U","84","Ortho-P (mg/L)","0.0494-0.0852","(mg/L)","below"
"90","2021-03-23","epchc","orthop","mgl",0.058,"I","90","Ortho-P (mg/L)","0.0229-0.0747","(mg/L)","in range"
"91","2021-03-23","epchc","orthop","mgl",0.024,"U","91","Ortho-P (mg/L)","0.024-0.0738","(mg/L)","in range"
"92","2021-03-23","epchc","orthop","mgl",0.024,"U","92","Ortho-P (mg/L)","0.0062-0.0616","(mg/L)","in range"
"93","2021-03-23","epchc","orthop","mgl",0.024,"U","93","Ortho-P (mg/L)","0.0132-0.0546","(mg/L)","in range"
"94","2021-03-23","epchc","orthop","mgl",0.042,"I","93","Ortho-P (mg/L)","0.0132-0.0546","(mg/L)","in range"
"95","2021-03-23","epchc","orthop","mgl",0.024,"U","95","Ortho-P (mg/L)","0.0127-0.0557","(mg/L)","in range"
"96","2021-03-23","epchc","orthop","mgl",0.064,"I","95","Ortho-P (mg/L)","0.0127-0.0557","(mg/L)","above"
"16","2021-03-23","epchc","ph","none",8,NA,"16","pH","7.9-8.1","","in range"
"19","2021-03-23","epchc","ph","none",8,NA,"19","pH","7.9-8.1","","in range"
"21","2021-03-23","epchc","ph","none",8,NA,"21","pH","7.9-8.1","","in range"
"22","2021-03-23","epchc","ph","none",8.1,NA,"22","pH","8-8.2","","in range"
"23","2021-03-23","epchc","ph","none",8,NA,"23","pH","8-8.2","","in range"
"24","2021-03-23","epchc","ph","none",8.1,NA,"24","pH","8-8.2","","in range"
"25","2021-03-23","epchc","ph","none",8.2,NA,"25","pH","8.1-8.3","","in range"
"28","2021-03-23","epchc","ph","none",8.1,NA,"28","pH","8-8.2","","in range"
"82","2021-03-23","epchc","ph","none",8,NA,"82","pH","8-8.2","","in range"
"84","2021-03-23","epchc","ph","none",8,NA,"84","pH","7.9-8.1","","in range"
"90","2021-03-23","epchc","ph","none",8,NA,"90","pH","8-8.2","","in range"
"91","2021-03-23","epchc","ph","none",8.1,NA,"91","pH","8-8.2","","in range"
"92","2021-03-23","epchc","ph","none",8.1,NA,"92","pH","8-8.2","","in range"
"93","2021-03-23","epchc","ph","none",8.1,NA,"93","pH","8-8.2","","in range"
"94","2021-03-23","epchc","ph","none",8.1,NA,"93","pH","8-8.2","","in range"
"95","2021-03-23","epchc","ph","none",8.1,NA,"95","pH","8-8.2","","in range"
"96","2021-03-23","epchc","ph","none",8.2,NA,"95","pH","8-8.2","","in range"
"16","2021-03-23","epchc","sal","ppt",28,NA,"16","Sal (ppt)","26.5-31.1","(ppt)","in range"
"19","2021-03-23","epchc","sal","ppt",29,NA,"19","Sal (ppt)","27.4-32","(ppt)","in range"
"21","2021-03-23","epchc","sal","ppt",29.2,NA,"21","Sal (ppt)","28.4-32.6","(ppt)","in range"
"22","2021-03-23","epchc","sal","ppt",28.7,NA,"22","Sal (ppt)","29.2-33.2","(ppt)","below"
